SSO Location,Neighborhood,Spill Type,Start Date,Start Time,End Date,End Time,Spill Volume,Cause,Corrective Action,Latitude,Longitude
1 COURTHOUSE WY,SOUTH BOSTON,PUBLIC,1/22/2022,12:19 PM,1/22/2022,3:00 PM,20,FOG,FURTHER INVESTIGATION REQUIRED,42.35417,-71.04669
1111 WASHINGTON ST,SOUTH DORCHESTER,PUBLIC,8/12/2022,11:53 AM,8/12/2022,1:50 PM,10,DEBRIS,FURTHER INVESTIGATION REQUIRED,42.27336,-71.07026
125 NASHUA ST,CENTRAL,PUBLIC,12/14/2021,9:51 AM,12/14/2021,11:35 AM,50,DEBRIS,FURTHER INVESTIGATION REQUIRED,42.3671,-71.064
125 NASHUA ST,CENTRAL,PUBLIC,3/15/2022,12:43 PM,3/15/2022,8:45 PM,80,DEBRIS,FURTHER INVESTIGATION REQUIRED,42.3671,-71.064
125 NASHUA ST,CENTRAL,PUBLIC,4/8/2022,11:59 AM,4/8/2022,2:00 PM,50,COLLAPSED PIPE,FURTHER INVESTIGATION REQUIRED,42.3671,-71.064
130  DORCHESTER ST,SOUTH BOSTON,PRIVATE - NOT CONTAINED TO BUILDING,2/14/2022,8:30 AM,2/14/2022,10:00 AM,20,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.33407869,-71.04723205
137 BRIGHTON AV,ALLSTON/BRIGHTON,PRIVATE - 100 GALLONS OR MORE,4/24/2022,2:54 PM,4/24/2022,7:30 PM,250,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.35315783,-71.13135084
1455 COMMONWEALTH AV,ALLSTON/BRIGHTON,PRIVATE - 100 GALLONS OR MORE,10/23/2021,7:52 PM,10/24/2021,2:30 PM,1000,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.34877267,-71.14119783
1455 COMMONWEALTH AV,ALLSTON/BRIGHTON,PRIVATE - NOT CONTAINED TO BUILDING,10/23/2021,7:52 PM,10/24/2021,2:30 PM,1000,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.34877267,-71.14119783
15 FOX POINT RD,NORTH DORCHESTER,PRIVATE - NOT CONTAINED TO BUILDING,6/28/2022,11:00 AM,6/28/2022,1:00 PM,60,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.30904745,-71.04615042
150 ORIENT AV,EAST BOSTON,PRIVATE - NOT CONTAINED TO BUILDING,1/28/2022,9:55 AM,1/28/2022,11:15 AM,10,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.39032942,-71.00607537
16 GREENDALE RD,MATTAPAN,PRIVATE - NOT CONTAINED TO BUILDING,7/5/2022,8:04 PM,7/5/2022,9:00 PM,50,PRIVATE LATERAL,OWNER RESPONSIBILITY,42.28532629,-71.09413906
1850 SOLDIERS FIELD RD,ALLSTON/BRIGHTON,PUBLIC,9/10/2022,12:12 PM,9/10/2022,3:45 PM,30,DEBRIS,FURTHER INVESTIGATION REQUIRED,42.35861763,-71.1573417
2  NORTH GROVE ST,CENTRAL,PUBLIC,5/11/2022,8:51 AM,5/11/2022,10:15 AM,10,FOG,FURTHER INVESTIGATION REQUIRED,42.36131916,-71.06911558
2 FIDELIS WY,ALLSTON/BRIGHTON,PRIVATE - NOT CONTAINED TO BUILDING,12/17/2021,1:30 PM,12/17/2021,2:00 PM,100,FOG,OWNER RESPONSIBILITY,42.34510939,-71.1427439
